time	V(n001)	V(n002)
2.259040178571429e-004	1.000000e+000	6.692055e-001
2.285546875000001e-004	1.000000e+000	6.261365e-001
2.305078125000001e-004	1.000000e+000	5.972947e-001
2.324609375000001e-004	1.000000e+000	5.705301e-001
2.344140625000001e-004	1.000000e+000	5.459035e-001
2.363671875000001e-004	1.000000e+000	5.234668e-001
2.383203125000001e-004	1.000000e+000	5.032622e-001
2.402734375000001e-004	1.000000e+000	4.853227e-001
2.422265625000001e-004	1.000000e+000	4.696725e-001
2.441796875000000e-004	1.000000e+000	4.563264e-001
2.461328125000000e-004	1.000000e+000	4.452900e-001
2.480859375000000e-004	1.000000e+000	4.365606e-001
2.500390625000000e-004	1.000000e+000	4.301263e-001
2.519921875000001e-004	1.000000e+000	4.259673e-001
2.539453125000001e-004	1.000000e+000	4.240552e-001
2.558984375000001e-004	1.000000e+000	4.243537e-001
2.578515625000001e-004	1.000000e+000	4.268191e-001
2.598046875000001e-004	1.000000e+000	4.314002e-001
2.617578125000001e-004	1.000000e+000	4.380389e-001
2.637109375000001e-004	1.000000e+000	4.466702e-001
2.656640625000001e-004	1.000000e+000	4.572231e-001
2.676171875000001e-004	1.000000e+000	4.696206e-001
2.695703125000001e-004	1.000000e+000	4.837804e-001
2.715234375000001e-004	1.000000e+000	4.996148e-001
2.734765625000001e-004	1.000000e+000	5.170319e-001
2.754296875000001e-004	1.000000e+000	5.359352e-001
2.793359375000001e-004	1.000000e+000	5.777971e-001
2.832421875000001e-004	1.000000e+000	6.243631e-001
2.871484375000001e-004	1.000000e+000	6.747577e-001
2.910546875000001e-004	1.000000e+000	7.280814e-001
2.949609375000001e-004	1.000000e+000	7.834258e-001
2.988671875000001e-004	1.000000e+000	8.398869e-001
3.027734375000001e-004	1.000000e+000	8.965785e-001
3.066796875000001e-004	1.000000e+000	9.526746e-001
3.100000000000001e-004	1.000000e+000	9.993348e-001
3.114285714285715e-004	8.571429e-001	8.775980e-001
3.128571428571429e-004	7.142857e-001	7.572691e-001
3.142857142857144e-004	5.714286e-001	6.383479e-001
3.157142857142858e-004	4.285714e-001	5.208347e-001
3.171428571428572e-004	2.857143e-001	4.047292e-001
3.185714285714286e-004	1.428571e-001	2.900316e-001
3.200000000000001e-004	0.000000e+000	1.767418e-001
3.223716517857144e-004	0.000000e+000	2.261988e-001
3.247433035714286e-004	0.000000e+000	2.728371e-001
3.271149553571429e-004	0.000000e+000	3.166567e-001
3.294866071428572e-004	0.000000e+000	3.576576e-001
3.318582589285715e-004	0.000000e+000	3.958398e-001
3.342299107142858e-004	0.000000e+000	4.312033e-001
3.366015625000001e-004	0.000000e+000	4.637481e-001
3.405078125000001e-004	0.000000e+000	5.093293e-001
3.444140625000001e-004	0.000000e+000	5.455581e-001
3.483203125000001e-004	0.000000e+000	5.722513e-001
3.522265625000001e-004	0.000000e+000	5.893751e-001
3.541796875000001e-004	0.000000e+000	5.943776e-001
3.561328125000001e-004	0.000000e+000	5.970402e-001
3.580859375000001e-004	0.000000e+000	5.973979e-001
3.600390625000001e-004	0.000000e+000	5.954940e-001
3.619921875000001e-004	0.000000e+000	5.913793e-001
3.639453125000001e-004	0.000000e+000	5.851122e-001
3.658984375000001e-004	0.000000e+000	5.767578e-001
3.678515625000001e-004	0.000000e+000	5.663880e-001
3.698046875000001e-004	0.000000e+000	5.540808e-001
3.717578125000001e-004	0.000000e+000	5.399203e-001
3.737109375000001e-004	0.000000e+000	5.239957e-001
3.756640625000001e-004	0.000000e+000	5.064011e-001
3.776171875000001e-004	0.000000e+000	4.872352e-001
3.795703125000001e-004	0.000000e+000	4.666008e-001
3.815234375000001e-004	0.000000e+000	4.446040e-001
3.834765625000001e-004	0.000000e+000	4.213542e-001
3.854296875000001e-004	0.000000e+000	3.969634e-001
3.873828125000001e-004	0.000000e+000	3.715458e-001
3.893359375000001e-004	0.000000e+000	3.452170e-001
3.932421875000002e-004	0.000000e+000	2.902946e-001
3.971484375000002e-004	0.000000e+000	2.331784e-001
4.000000000000001e-004	0.000000e+000	1.905705e-001
4.014285714285715e-004	1.428571e-001	3.103162e-001
4.028571428571430e-004	2.857143e-001	4.283490e-001
4.042857142857144e-004	4.285714e-001	5.446686e-001
4.057142857142858e-004	5.714286e-001	6.592753e-001
4.071428571428572e-004	7.142857e-001	7.721689e-001
4.085714285714287e-004	8.571429e-001	8.833494e-001
4.100000000000001e-004	1.000000e+000	9.928169e-001
4.129296875000001e-004	1.000000e+000	9.226506e-001
4.158593750000001e-004	1.000000e+000	8.561909e-001
4.187890625000001e-004	1.000000e+000	7.934379e-001
4.217187500000001e-004	1.000000e+000	7.343916e-001
4.246484375000001e-004	1.000000e+000	6.790520e-001
4.275781250000001e-004	1.000000e+000	6.274190e-001
4.305078125000001e-004	1.000000e+000	5.794927e-001
4.324609375000001e-004	1.000000e+000	5.509168e-001
4.344140625000001e-004	1.000000e+000	5.245880e-001
4.363671875000001e-004	1.000000e+000	5.005624e-001
4.383203125000001e-004	1.000000e+000	4.788860e-001
4.402734375000001e-004	1.000000e+000	4.595954e-001
4.422265625000001e-004	1.000000e+000	4.427170e-001
4.441796875000001e-004	1.000000e+000	4.282682e-001
4.461328125000001e-004	1.000000e+000	4.162565e-001
4.480859375000001e-004	1.000000e+000	4.066800e-001
4.500390625000001e-004	1.000000e+000	3.995280e-001
4.519921875000001e-004	1.000000e+000	3.947804e-001
4.539453125000001e-004	1.000000e+000	3.924089e-001
